,state,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Delta
56,Alabama,retail_and_recreation_percent_change_from_baseline,56.0,-0.045847977752988114,-0.02374378805579297,0.5178808143668994,0.4821191856331007,0.0012930077635404072,0.0024967284511612725,-0.02374378805579297,-0.045847977752988114,0.4821191856331007,0.789323183735836
57,Alabama,retail_and_recreation_percent_change_from_baseline,57.0,-0.00920630786744582,-0.004986362838486247,0.5416246024226923,0.4583753975773077,0.0027915036919072007,0.005153945517653328,-0.014365075447139608,-0.026522198923173878,0.4821191856331007,0.789323183735836
58,Alabama,retail_and_recreation_percent_change_from_baseline,58.0,0.027670253453863123,0.014605841239532819,0.5278535400438717,0.4721464599561282,0.004198636065928636,0.007954168623326222,-0.004708103218248799,-0.008919336257283587,0.4821191856331007,0.789323183735836
59,Alabama,retail_and_recreation_percent_change_from_baseline,59.0,0.04120859187932474,0.021115814891650014,0.5124129199436267,0.48758708005637336,0.005514404885604715,0.010761642946495932,0.0017478763092259042,0.003411069942221983,0.4821191856331007,0.789323183735836
60,Alabama,retail_and_recreation_percent_change_from_baseline,60.0,0.045229709042976234,0.021964537705979975,0.4856219102605718,0.5143780897394282,0.006738810150935436,0.013876660028209127,0.0057912085885767186,0.011925344524651514,0.4821191856331007,0.789323183735836
61,Alabama,retail_and_recreation_percent_change_from_baseline,61.0,0.026952321991626556,0.012626727425692597,0.4684838445316667,0.5315161554683333,0.007871851861920801,0.016802824587879062,0.006930461728096031,0.014793384679090195,0.4821191856331007,0.789323183735836
62,Alabama,retail_and_recreation_percent_change_from_baseline,62.0,0.02211883674335436,0.01018281470698601,0.4603684554091866,0.5396315445908134,0.008913530018560807,0.01936173061779015,0.007395083582223171,0.01606340203229225,0.4821191856331007,0.789323183735836
63,Alabama,retail_and_recreation_percent_change_from_baseline,63.0,0.05371575091790036,0.02407100642503618,0.4481182151176947,0.5518817848823053,0.009863844620855457,0.022011702019889546,0.014225768508055906,0.03174557076266052,0.4821191856331007,0.789323183735836
64,Alabama,retail_and_recreation_percent_change_from_baseline,64.0,0.06297271822717543,0.025959019613066014,0.4122264425591142,0.5877735574408858,0.010722795668804748,0.026011906471203806,0.01864653742970623,0.04523372473135872,0.4821191856331007,0.789323183735836
65,Alabama,retail_and_recreation_percent_change_from_baseline,65.0,0.03493615749328787,0.013841711743815988,0.39620017589156264,0.6037998241084374,0.011490383162408682,0.029001459013873642,0.018537376073175255,0.04678790470362843,0.4821191856331007,0.789323183735836
66,Alabama,retail_and_recreation_percent_change_from_baseline,66.0,0.006780832765146316,0.0026075219033281916,0.38454301907148225,0.6154569809285177,0.012166607101667257,0.03163913138000724,0.015893334217700707,0.04133044530642309,0.4821191856331007,0.789323183735836
67,Alabama,retail_and_recreation_percent_change_from_baseline,67.0,-0.02752641488289473,-0.010762418958812525,0.39098513208490626,0.6090148679150937,0.01275146748658048,0.03261368896199197,0.011218054694158921,0.028691767981916024,0.4821191856331007,0.789323183735836
68,Alabama,retail_and_recreation_percent_change_from_baseline,68.0,-0.013132381331239243,-0.0053326379443400795,0.4060678569891073,0.5939321430108927,0.01324496431714834,0.032617613261380685,0.00865243106986854,0.021307845279910052,0.4821191856331007,0.789323183735836
69,Alabama,retail_and_recreation_percent_change_from_baseline,69.0,0.010081723082267591,0.004049328189069501,0.4016504079735864,0.5983495920264136,0.013647097593370846,0.033977551926869486,0.007776218710166182,0.01936066428862576,0.4821191856331007,0.789323183735836
70,Alabama,retail_and_recreation_percent_change_from_baseline,70.0,0.03775148373312257,0.015023927803148762,0.3979692006109683,0.6020307993890317,0.013957867315247995,0.03507273249743866,0.006483778907039407,0.016292162551989984,0.4821191856331007,0.789323183735836
71,Alabama,retail_and_recreation_percent_change_from_baseline,71.0,0.036302472460410025,0.01349009142353158,0.3716025523672889,0.6283974476327111,0.014177273482779784,0.038151711801933705,0.004702503451391631,0.012654658643850528,0.4821191856331007,0.789323183735836
72,Alabama,retail_and_recreation_percent_change_from_baseline,72.0,0.008268904849439181,0.0030676728880766335,0.37098901776390514,0.6290109822360949,0.014305316095966218,0.038559944933653056,0.0031633550434288665,0.008526815867746262,0.4821191856331007,0.789323183735836
73,Alabama,retail_and_recreation_percent_change_from_baseline,73.0,0.015864355563283233,0.005797901712081666,0.36546720659113563,0.6345327934088644,0.014341995154807293,0.03924290578238479,0.0036191235875365053,0.00990273141410846,0.4821191856331007,0.789323183735836
74,Alabama,retail_and_recreation_percent_change_from_baseline,74.0,0.05475651905408192,0.01967912138890182,0.3593932143397418,0.6406067856602582,0.01428731065930301,0.039753980011979086,0.007967915065781412,0.02217046607410116,0.4821191856331007,0.789323183735836
75,Alabama,retail_and_recreation_percent_change_from_baseline,75.0,0.08047598881098177,0.026243941323002562,0.326108963813332,0.673891036186668,0.014141262609453373,0.043363612100978534,0.012478854961116075,0.03826590601863706,0.4821191856331007,0.789323183735836
76,Alabama,retail_and_recreation_percent_change_from_baseline,76.0,0.06148066714748739,0.01886874454365184,0.3069053316937367,0.6930946683062633,0.013903851005258377,0.04530338697124083,0.014595914440342124,0.04755836061821013,0.4821191856331007,0.789323183735836
77,Alabama,retail_and_recreation_percent_change_from_baseline,77.0,0.07550390830701413,0.021773173386072486,0.2883714747260283,0.7116285252739717,0.013575075846718021,0.047074960724236774,0.015560092380759798,0.053958500560927186,0.4821191856331007,0.789323183735836
78,Alabama,retail_and_recreation_percent_change_from_baseline,78.0,0.08724682362805733,0.022977234908318322,0.2633589849215917,0.7366410150784083,0.013154937133832314,0.049950591728430506,0.01691539859287219,0.06422943419951406,0.4821191856331007,0.789323183735836
79,Alabama,retail_and_recreation_percent_change_from_baseline,79.0,0.08449006769945606,0.020481829156293874,0.24241700490939166,0.7575829950906083,0.012643434866601244,0.05215572592082386,0.01940313520261751,0.08004032229450996,0.4821191856331007,0.789323183735836
80,Alabama,retail_and_recreation_percent_change_from_baseline,80.0,0.07894641786315613,0.017557314385287515,0.22239532660900396,0.777604673390996,0.012040569045024816,0.054140386979414784,0.021083051298789773,0.09479988460304363,0.4821191856331007,0.789323183735836
81,Alabama,retail_and_recreation_percent_change_from_baseline,81.0,0.028264293355211814,0.005859255172419975,0.20730237613881664,0.7926976238611834,0.011346339669103037,0.0547332832379362,0.019108784696435226,0.09217831967174048,0.4821191856331007,0.789323183735836
82,Alabama,retail_and_recreation_percent_change_from_baseline,82.0,-0.016017140306108603,-0.0033744401253473777,0.210676816264164,0.789323183735836,0.010560746738835895,0.05012771184843593,0.014877587346670948,0.07061805665420821,0.4821191856331007,0.789323183735836
293,Alaska,retail_and_recreation_percent_change_from_baseline,43.0,-0.008333333166110915,-0.004601509203272569,0.5521811154731556,0.4478188845268444,-0.005372453167493121,-0.009729512685144163,-0.004601509203272569,-0.008333333166110915,0.4478188845268444,0.9484630958926079
294,Alaska,retail_and_recreation_percent_change_from_baseline,44.0,-0.0024793387936342766,-0.0013804527609817818,0.5567826246764283,0.4432173753235718,-0.0040425127885436755,-0.007260486605329977,-0.0029909809821271754,-0.0053719007195409,0.4478188845268444,0.9484630958926079
295,Alaska,retail_and_recreation_percent_change_from_baseline,45.0,0.009121061293834845,0.0050616601880210665,0.5549420209951192,0.4450579790048808,-0.002757011717901004,-0.004968107682595642,-0.0003067672587444281,-0.0005527915478347352,0.4478188845268444,0.9484630958926079
296,Alaska,retail_and_recreation_percent_change_from_baseline,46.0,0.0025252524746624113,0.0013804527609817818,0.546659304300386,0.45334069569961394,-0.0015159499555651066,-0.0027731165346306834,0.00011503774618712437,0.00021043773568319587,0.4478188845268444,0.9484630958926079
297,Alaska,retail_and_recreation_percent_change_from_baseline,47.0,-0.0033333332664444767,-0.0018406036813090887,0.5521811154731556,0.4478188845268444,-0.0003193275015359841,-0.0005783021052111809,-0.00027609053931211823,-0.0004999999666333037,0.4478188845268444,0.9484630958926079
298,Alaska,retail_and_recreation_percent_change_from_baseline,48.0,0.0033444816558540033,0.0018406037457302238,0.5503405116630042,0.44965948833699576,0.0008328556441863644,0.001513346058551393,7.669184152827209e-05,0.00013935343646886313,0.4478188845268444,0.9484630958926079
299,Alaska,retail_and_recreation_percent_change_from_baseline,49.0,0.011744966443347151,0.006442113013424011,0.5484999079816952,0.4515000920183048,0.0019405994816019375,0.0035380124105083713,0.0009860377232276635,0.0017976989765704208,0.4478188845268444,0.9484630958926079
300,Alaska,retail_and_recreation_percent_change_from_baseline,50.0,0.014554794470673406,0.007822565774405793,0.5374562856361562,0.4625437143638438,0.003003904010710736,0.005589113181838011,0.0027609055771817153,0.0051369863018976315,0.4478188845268444,0.9484630958926079
301,Alaska,retail_and_recreation_percent_change_from_baseline,51.0,0.0008635578410457169,0.0004601509203272791,0.5328547764328836,0.4671452235671164,0.004022769231512763,0.007549466401413511,0.0030238489602258667,0.005674808773355792,0.4478188845268444,0.9484630958926079
302,Alaska,retail_and_recreation_percent_change_from_baseline,52.0,-0.008576329280176728,-0.004601509267693787,0.5365359837955017,0.46346401620449834,0.004997195144008013,0.009313811738510855,0.0016433961808380304,0.003062974768649261,0.4478188845268444,0.9484630958926079
303,Alaska,retail_and_recreation_percent_change_from_baseline,53.0,0.0008488964176858407,0.00046015092032725136,0.5420577949682712,0.45794220503172883,0.005927181748196489,0.010934593696864798,0.0015119244893159547,0.0027892311545938634,0.4478188845268444,0.9484630958926079
304,Alaska,retail_and_recreation_percent_change_from_baseline,54.0,0.008591065240845018,0.004601509267693787,0.5356156819548472,0.46438431804515284,0.0068127290440781925,0.012719435359348778,0.0024322263391735083,0.004540991649640585,0.4478188845268444,0.9484630958926079
305,Alaska,retail_and_recreation_percent_change_from_baseline,55.0,0.010362694334344561,0.005521811172769481,0.5328547764328836,0.4671452235671164,0.0076538370316531195,0.014363833018239198,0.002958113114464831,0.005551443367492126,0.4478188845268444,0.9484630958926079
306,Alaska,retail_and_recreation_percent_change_from_baseline,56.0,-0.016666666580701713,-0.008742867615060324,0.5245720596093082,0.4754279403906918,0.008450505710921272,0.016109332466572954,0.0007888301675384972,0.0015037594036670647,0.4478188845268444,0.9484630958926079
307,Alaska,retail_and_recreation_percent_change_from_baseline,57.0,-0.023411371239807174,-0.012884226026848022,0.5503405116630042,0.44965948833699576,0.00920273508188265,0.01672189287696461,-0.0021692829469263336,-0.003941710451900502,0.4478188845268444,0.9484630958926079
308,Alaska,retail_and_recreation_percent_change_from_baseline,58.0,0.010869565118147425,0.005981962028675597,0.5503405116630042,0.44965948833699576,0.009910525144537254,0.018007987663110413,-0.0013804527885908596,-0.0025083612042650547,0.4478188845268444,0.9484630958926079
