Mobility Type,X Variable,Y Variable,MAPE,MAE,R2
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Total,a,162.52866923927655,0.0011392009049190298,1.1523984200234594e-07
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Total,p,63.416850144247185,19.15913532890863,0.17667739229261392
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Total,s,104.77231566065022,2.7910986080031237,0.333717889826904
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male,a,162.5296119621088,0.0011392096806908108,3.455137707053524e-07
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male,p,63.51640907903076,19.201547944540174,0.17402408730760932
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male,s,105.67788221264092,2.812650456272005,0.3182731541351429
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: Under 5 years,a,161.97276368492535,0.0011383132598873815,0.0006060600852858533
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: Under 5 years,p,62.651758071268006,18.997028885603005,0.1852916542726607
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: Under 5 years,s,102.75929119395005,2.816799373490377,0.34908129568411905
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 5 to 9 years,a,162.20384318372072,0.0011367591103448912,0.0006434399024904947
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 5 to 9 years,p,63.22940849343293,19.190257022500916,0.17381680365586472
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 5 to 9 years,s,106.54840269037717,2.84517119167621,0.29222054946417764
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 10 to 14 years,a,162.00104777080008,0.0011383175737233048,0.000556704647977635
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 10 to 14 years,p,63.55793134520692,19.265135766347697,0.16920102984533425
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 10 to 14 years,s,109.2883713125511,2.875193341750382,0.2669116623463278
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 15 to 17 years,a,162.10881393090705,0.0011388650025838541,0.00036982221896808554
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 15 to 17 years,p,63.79907674647546,19.32818304796746,0.16571526741729048
grocery_and_pharmacy_percent_change_from_baseline,Estimates: Male: 15 to 17 years,s,110.58260922366003,2.9028254598981365,0.2590033047065462
