,state,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Mass,Delta
32,Alabama,grocery_and_pharmacy_percent_change_from_baseline,32.0,0.001971705621875688,0.0018908705959411673,0.9590024874719268,0.04099751252807316,-0.0005368703573640305,-0.00055982165257913,0.0018908705959411673,0.001971705621875688,-12.85393218,36.93603896,0.5680700158379951
33,Alabama,grocery_and_pharmacy_percent_change_from_baseline,33.0,-0.008104453876303309,-0.0077568669534455095,0.9571116168759857,0.04288838312401433,0.0020040126205016482,0.0020938128690180875,-0.002932998178752171,-0.0030644264754882858,-12.85393218,36.93603896,0.5680700158379951
34,Alabama,grocery_and_pharmacy_percent_change_from_baseline,34.0,-0.02200496111975061,-0.021444191562007164,0.9745162213788179,0.025483778621182143,0.004460908114274723,0.004577561682824632,-0.009103395973170503,-0.009341451454025406,-12.85393218,36.93603896,0.5680700158379951
35,Alabama,grocery_and_pharmacy_percent_change_from_baseline,35.0,0.03792484769460509,0.03792484769460509,1.0,0.0,0.006833816123955196,0.006833816123955196,0.0026536649437733963,0.0026536649437733963,-12.85393218,36.93603896,0.5680700158379951
36,Alabama,grocery_and_pharmacy_percent_change_from_baseline,36.0,0.06529183854725644,0.05867558972273729,0.8986665259896076,0.10133347401039233,0.009122736649543065,0.010151414774793295,0.013858049899566174,0.015420681085573706,-12.85393218,36.93603896,0.5680700158379951
37,Alabama,grocery_and_pharmacy_percent_change_from_baseline,37.0,0.018080921531919585,0.015959104064687743,0.8826488205545254,0.11735117944547457,0.01132766969103833,0.012833722118295818,0.014208225593753102,0.016097257780083776,-12.85393218,36.93603896,0.5680700158379951
38,Alabama,grocery_and_pharmacy_percent_change_from_baseline,38.0,0.005546885121891626,0.004807753348763516,0.8667483178602322,0.13325168213976782,0.013448615248440992,0.015516171155246077,0.01286530098732602,0.014843179643067524,-12.85393218,36.93603896,0.5680700158379951
39,Alabama,grocery_and_pharmacy_percent_change_from_baseline,39.0,-0.02125868414978676,-0.01855953947152758,0.8730333138569983,0.1269666861430016,0.015485573321751054,0.017737665992763673,0.009943813834830482,0.011389959211177667,-12.85393218,36.93603896,0.5680700158379951
40,Alabama,grocery_and_pharmacy_percent_change_from_baseline,40.0,-0.009568421509925127,-0.008648584241692604,0.9038673968032873,0.09613260319671266,0.01743854391096851,0.019293254710418255,0.009816425650795185,0.010860470999964143,-12.85393218,36.93603896,0.5680700158379951
41,Alabama,grocery_and_pharmacy_percent_change_from_baseline,41.0,0.010980934199537556,0.009776660442422286,0.8903304823403836,0.1096695176596164,0.01930752701609336,0.021685798025627825,0.014276547365713679,0.016035110162897454,-12.85393218,36.93603896,0.5680700158379951
42,Alabama,grocery_and_pharmacy_percent_change_from_baseline,42.0,0.038172339900994987,0.033756337485193084,0.8843140759184428,0.11568592408155723,0.02109252263712561,0.02385184541501169,0.013681045907226247,0.015470799662458389,-12.85393218,36.93603896,0.5680700158379951
43,Alabama,grocery_and_pharmacy_percent_change_from_baseline,43.0,0.03710816945672805,0.03053326262789928,0.8228178073699974,0.17718219263000257,0.022793530774065256,0.027701795670807185,0.009660713465106533,0.011741011653582734,-12.85393218,36.93603896,0.5680700158379951
44,Alabama,grocery_and_pharmacy_percent_change_from_baseline,44.0,0.0049590934184812405,0.00408256151027192,0.8232475506626442,0.1767524493373558,0.024410551426912296,0.029651532406338627,0.007964064528761415,0.009673960793871807,-12.85393218,36.93603896,0.5680700158379951
45,Alabama,grocery_and_pharmacy_percent_change_from_baseline,45.0,0.007292925500293812,0.005941201335574936,0.8146526843494536,0.1853473156505464,0.02594358459566674,0.03184619052275531,0.008125985669734475,0.009974785360492042,-12.85393218,36.93603896,0.5680700158379951
46,Alabama,grocery_and_pharmacy_percent_change_from_baseline,46.0,0.038691271533557024,0.03139274925380359,0.8113651479914943,0.18863485200850566,0.027392630280328574,0.03376116209592939,0.015262026916210356,0.01881030625235871,-12.85393218,36.93603896,0.5680700158379951
47,Alabama,grocery_and_pharmacy_percent_change_from_baseline,47.0,0.06443001669174328,0.04844281533376421,0.7518671858418464,0.24813281415815358,0.028757688480897808,0.0382483622405978,0.023417941141275617,0.03114638008181611,-12.85393218,36.93603896,0.5680700158379951
48,Alabama,grocery_and_pharmacy_percent_change_from_baseline,48.0,0.05277964601268219,0.03770997600767095,0.714479517323966,0.2855204826760341,0.030038759197374438,0.04204285562990322,0.027408414793453996,0.038361372340120166,-12.85393218,36.93603896,0.5680700158379951
49,Alabama,grocery_and_pharmacy_percent_change_from_baseline,49.0,0.0673185449952313,0.045537443547249284,0.6764472338265045,0.3235527661734955,0.031235842429758465,0.04617631777879344,0.029091429945176307,0.04300620727002291,-12.85393218,36.93603896,0.5680700158379951
50,Alabama,grocery_and_pharmacy_percent_change_from_baseline,50.0,0.08142195675586753,0.05075882484395128,0.6234046302294673,0.37659536977053265,0.03234893817804989,0.05189075699701277,0.03198079597604088,0.05130022207930851,-12.85393218,36.93603896,0.5680700158379951
51,Alabama,grocery_and_pharmacy_percent_change_from_baseline,51.0,0.08270769023306211,0.04755109795075871,0.574929584138602,0.42507041586139804,0.033378046442248704,0.05805588608256771,0.03819058689611042,0.0664265467454247,-12.85393218,36.93603896,0.5680700158379951
52,Alabama,grocery_and_pharmacy_percent_change_from_baseline,52.0,0.08298269060424276,0.043839957453304546,0.5283024343279499,0.47169756567205007,0.03432316722235493,0.06496878490824523,0.04360469491292894,0.08253737268577646,-12.85393218,36.93603896,0.5680700158379951
