,State,Mobility Type,a,p,s,R^2
0,Alabama,grocery_and_pharmacy_percent_change_from_baseline,0.0038482349399724266,16.704527972843422,7.2993973110675405,0.9631485450921051
1,Alabama,parks_percent_change_from_baseline,0.000590736985085993,63.82200102459303,11.399980316952487,0.5339410195903043
2,Alabama,residential_percent_change_from_baseline,0.0025013675742295055,43.75149410296767,6.765833363558452,0.8570067260270782
3,Alabama,retail_and_recreation_percent_change_from_baseline,0.0009978014292091114,41.824937699864904,4.856342639191041,0.969918592361243
4,Alabama,transit_stations_percent_change_from_baseline,0.0012218674062712508,32.959125347982464,3.3441261772808333,0.9040014336419336
5,Alabama,workplaces_percent_change_from_baseline,0.00021936914403152872,51.93238295524012,3.0914985720743835,0.9331513813172153
6,Alaska,grocery_and_pharmacy_percent_change_from_baseline,0.0004834991178792304,93.8202927936725,14.759481701245885,0.7798981938035734
7,Alaska,parks_percent_change_from_baseline,0.0002324835951888161,121.09078836554808,6.760314647620595,0.559719785019374
8,Alaska,residential_percent_change_from_baseline,0.001939102287621481,43.70164065387491,7.460469992670522,0.8385618199967662
9,Alaska,retail_and_recreation_percent_change_from_baseline,0.0010334490892046286,50.06000538671365,7.843809509673541,0.9317754632893848
10,Alaska,transit_stations_percent_change_from_baseline,0.0005830347729581562,62.82923040146816,11.637644489384384,0.9531781556253811
11,Alaska,workplaces_percent_change_from_baseline,0.0005165152563521651,36.76453856919668,3.7663037405128743,0.9451370132017883
12,Arizona,grocery_and_pharmacy_percent_change_from_baseline,0.002240546339145877,21.59871268288088,4.350149997737748,0.9782088654599166
13,Arizona,parks_percent_change_from_baseline,0.0017194496262555375,42.91954197048348,26.98240641,0.6267777068165975
14,Arizona,residential_percent_change_from_baseline,0.0046376039518165315,35.84855993916945,4.385353645170736,0.8911218286004939
15,Arizona,retail_and_recreation_percent_change_from_baseline,0.0007137816064198051,40.912339779446086,3.977621045450191,0.9417683916359505
16,Arizona,transit_stations_percent_change_from_baseline,0.0005129976200606308,40.92778084457566,3.065811630595404,0.9369793264588725
